method	shape	t	py_version	npy_version	pandas_version	vigra_version	host	platform	mem_min	mem_max
pandas_bincount(data)	(1024, 1024, 256)	0.6154874583298806	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	18465	4328554750
numpy_ufunc_bincount(data)	(512, 128, 1)	0.00016813899856060743	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	296	346851
numpy_ufunc_bincount(data)	(1024, 512, 1)	0.0006964026639858881	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	296	2181893
numpy_ufunc_bincount(data)	(2048, 1024, 1)	0.002828889002557844	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	296	8473351
numpy_ufunc_bincount(data)	(512, 512, 32)	0.011435596999945119	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	6834	33645679
numpy_ufunc_bincount(data)	(1024, 1024, 256)	0.3679228333348874	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	21479	1073863785
numba_bincount(data)	(512, 128, 1)	0.013681874998534719	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	1062306	1379658
numba_bincount(data)	(1024, 512, 1)	0.012647430664704492	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	1056980	3217715
numba_bincount(data)	(2048, 1024, 1)	0.013942041667178273	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	1055547	9507696
numba_bincount(data)	(512, 512, 32)	0.01709634733075897	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	1063032	34674153
numba_bincount(data)	(1024, 1024, 256)	0.15592126399860717	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's Macboock Pro M1	macOS-14.6.1-arm64-arm-64bit	54907	1074866999
numpy.bincount(data.reshape(-1))	(512, 128, 1)	0.0002800163335147469	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	296	798577
numpy.bincount(data.reshape(-1))	(1024, 512, 1)	0.002709753666446583	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	296	6303635
numpy.bincount(data.reshape(-1))	(2048, 1024, 1)	0.008163740666835414	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	296	25178005
numpy.bincount(data.reshape(-1))	(512, 512, 32)	0.03810608699980852	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	8599	100702639
numpy.bincount(data.reshape(-1))	(1024, 1024, 256)	3.481475347000014	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	110383	3221361730
vigra_bincount(data)	(512, 128, 1)	0.0013061036667446995	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	1705	277769
vigra_bincount(data)	(1024, 512, 1)	0.010320857333378322	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	838	2111944
vigra_bincount(data)	(2048, 1024, 1)	0.04035660366692658	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	9829	8426392
vigra_bincount(data)	(512, 512, 32)	0.16321897133335975	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	13222	33596588
vigra_bincount(data)	(1024, 1024, 256)	5.3142428546671	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	147873	1073919058
pandas_bincount(data)	(512, 128, 1)	0.0017434923332378578	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	982	1073269
pandas_bincount(data)	(1024, 512, 1)	0.005347292000199862	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	7304	8489810
pandas_bincount(data)	(2048, 1024, 1)	0.015356001666683975	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	12124	33837687
pandas_bincount(data)	(512, 512, 32)	0.06429559433308896	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	7628	135294851
pandas_bincount(data)	(1024, 1024, 256)	1.7428995153331925	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	20372	4328557669
numpy_ufunc_bincount(data)	(512, 128, 1)	0.0002091489999050585	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	6250	352864
numpy_ufunc_bincount(data)	(1024, 512, 1)	0.0020925640001223655	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	296	2181896
numpy_ufunc_bincount(data)	(2048, 1024, 1)	0.007110940000226644	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	512	8473570
numpy_ufunc_bincount(data)	(512, 512, 32)	0.03659543899993878	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	8792	33664594
numpy_ufunc_bincount(data)	(1024, 1024, 256)	1.1807842200002294	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	37866	1073869423
numba_bincount(data)	(512, 128, 1)	0.05606236466701375	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	1069879	1394430
numba_bincount(data)	(1024, 512, 1)	0.0485831113334522	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	1057597	3211712
numba_bincount(data)	(2048, 1024, 1)	0.04693623400028931	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	1059665	9505171
numba_bincount(data)	(512, 512, 32)	0.08308214666673545	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	1060600	34671923
numba_bincount(data)	(1024, 1024, 256)	0.3355775099995905	3.12.5	1.26.4	2.2.2	1.11.1	thodkatz-hp	Linux-5.15.164-3-MANJARO-x86_64-with-glibc2.40	1066879	1074863874
numpy.bincount(data.reshape(-1))	(512, 128, 1)	0.00013780000153928995	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	296	798581
numpy.bincount(data.reshape(-1))	(1024, 512, 1)	0.0014473666669800878	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	296	6303639
numpy.bincount(data.reshape(-1))	(2048, 1024, 1)	0.006790066642376284	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	296	25178009
numpy.bincount(data.reshape(-1))	(512, 512, 32)	0.02689776666617642	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	6833	100700801
numpy.bincount(data.reshape(-1))	(1024, 1024, 256)	0.8569651666718224	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	26896	3221283567
vigra_bincount(data)	(512, 128, 1)	0.0010062666454662879	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	11356	287480
vigra_bincount(data)	(1024, 512, 1)	0.006934100024712582	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	903	2112013
vigra_bincount(data)	(2048, 1024, 1)	0.029076900022725265	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	7763	8424310
vigra_bincount(data)	(512, 512, 32)	0.12073186664686848	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	12077	33595427
vigra_bincount(data)	(1024, 1024, 256)	4.49317489999036	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	86327	1073857132
pandas_bincount(data)	(512, 128, 1)	0.0034306666736180582	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	982	1073273
pandas_bincount(data)	(1024, 512, 1)	0.008010799996554852	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	932	8470683
pandas_bincount(data)	(2048, 1024, 1)	0.031410300017644964	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	5556	33837741
pandas_bincount(data)	(512, 512, 32)	0.07937653335587432	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	8982	135288791
pandas_bincount(data)	(1024, 1024, 256)	1.3087335999977465	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	15684	4328552168
numpy_ufunc_bincount(data)	(512, 128, 1)	0.003978999991280337	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	10700	373236
numpy_ufunc_bincount(data)	(1024, 512, 1)	0.027059500028068822	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	480	2183224
numpy_ufunc_bincount(data)	(2048, 1024, 1)	0.1187324666728576	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	9213	8502624
numpy_ufunc_bincount(data)	(512, 512, 32)	0.42019803333096206	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	15160	33674489
numpy_ufunc_bincount(data)	(1024, 1024, 256)	14.348339266687011	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	76790	1073923942
numba_bincount(data)	(512, 128, 1)	0.03737793335070213	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	1089562	1415655
numba_bincount(data)	(1024, 512, 1)	0.03571976666959623	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	1086773	3248086
numba_bincount(data)	(2048, 1024, 1)	0.03422386668777714	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	1086336	9538908
numba_bincount(data)	(512, 512, 32)	0.043219099985435605	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	1087661	34704990
numba_bincount(data)	(1024, 1024, 256)	0.25255996667935204	3.12.5	1.26.4	2.2.2	1.11.1	besthost	Windows-11-10.0.22621-SP0	1095905	1074894317
numpy.bincount(data.reshape(-1))	(512, 128, 1)	0.00012919066163400808	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	296	798577
numpy.bincount(data.reshape(-1))	(1024, 512, 1)	0.000969745684415102	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	296	6303635
numpy.bincount(data.reshape(-1))	(2048, 1024, 1)	0.0038271676748991013	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	296	25178005
numpy.bincount(data.reshape(-1))	(512, 512, 32)	0.022073739673942327	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	6562	100700070
numpy.bincount(data.reshape(-1))	(1024, 1024, 256)	0.7917799873587986	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	34441	3221291068
vigra_bincount(data)	(512, 128, 1)	0.0008447073244800171	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	1890	278007
vigra_bincount(data)	(1024, 512, 1)	0.0054254077064494295	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	1943	2113049
vigra_bincount(data)	(2048, 1024, 1)	0.02111077797599137	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	8178	8425367
vigra_bincount(data)	(512, 512, 32)	0.08546768664382398	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	9986	33592407
vigra_bincount(data)	(1024, 1024, 256)	2.69755434563073	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	92678	1073863486
pandas_bincount(data)	(512, 128, 1)	0.0008178456531216701	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	982	1073269
pandas_bincount(data)	(1024, 512, 1)	0.0016648753080517054	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	932	8470679
pandas_bincount(data)	(2048, 1024, 1)	0.005360595028226574	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	12351	33837953
pandas_bincount(data)	(512, 512, 32)	0.02108485399124523	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	1198	135282807
pandas_bincount(data)	(1024, 1024, 256)	0.6571039243135601	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	17195	4328553377
numpy_ufunc_bincount(data)	(512, 128, 1)	0.0001283086215456327	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	296	346854
numpy_ufunc_bincount(data)	(1024, 512, 1)	0.0008894743708272775	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	296	2181896
numpy_ufunc_bincount(data)	(2048, 1024, 1)	0.003465129683415095	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	296	8473354
numpy_ufunc_bincount(data)	(512, 512, 32)	0.014442776019374529	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	6653	33645501
numpy_ufunc_bincount(data)	(1024, 1024, 256)	0.550317963041986	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	23041	1073865956
numba_bincount(data)	(512, 128, 1)	0.021372444927692413	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	1072964	1385120
numba_bincount(data)	(1024, 512, 1)	0.019558914626638096	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	1060831	3211662
numba_bincount(data)	(2048, 1024, 1)	0.020174433399612706	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	1060630	9522319
numba_bincount(data)	(512, 512, 32)	0.023783622697616618	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	1055316	34673665
numba_bincount(data)	(1024, 1024, 256)	0.20543648465536535	3.12.5	1.26.4	2.2.2	1.11.1	Janelia HPC node (Intel Sapphire Rapids)	Linux-5.14.0-362.8.1.el9_3.x86_64-x86_64-with-glibc2.34	1064402	1074867769
numpy.bincount(data.reshape(-1))	(512, 128, 1)	0.0002404216987391313	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	296	798574
numpy.bincount(data.reshape(-1))	(1024, 512, 1)	0.003125874325633049	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	6537	6328362
numpy.bincount(data.reshape(-1))	(2048, 1024, 1)	0.008306737213085095	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	296	25178002
numpy.bincount(data.reshape(-1))	(512, 512, 32)	0.03957340866327286	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	8712	100702780
numpy.bincount(data.reshape(-1))	(1024, 1024, 256)	1.8381490400061011	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	59945	3221315472
vigra_bincount(data)	(512, 128, 1)	0.0013927522425850232	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	1423	277484
vigra_bincount(data)	(1024, 512, 1)	0.009570136355857054	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	2247	2113350
vigra_bincount(data)	(2048, 1024, 1)	0.031224086104581755	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	7779	8423959
vigra_bincount(data)	(512, 512, 32)	0.11140100254366796	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	12665	33595880
vigra_bincount(data)	(1024, 1024, 256)	3.8366502386828265	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	117429	1073888164
pandas_bincount(data)	(512, 128, 1)	0.001379001730432113	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	982	1073266
pandas_bincount(data)	(1024, 512, 1)	0.004047185958673556	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	7377	8477071
pandas_bincount(data)	(2048, 1024, 1)	0.011728068968902031	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	5606	33837734
pandas_bincount(data)	(512, 512, 32)	0.0452723305982848	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	7442	135289264
pandas_bincount(data)	(1024, 1024, 256)	1.2424926883541048	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	27508	4328559351
numpy_ufunc_bincount(data)	(512, 128, 1)	0.0005121743306517601	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	536	347091
numpy_ufunc_bincount(data)	(1024, 512, 1)	0.0016781380400061607	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	296	2181893
numpy_ufunc_bincount(data)	(2048, 1024, 1)	0.006248947077741225	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	296	8473351
numpy_ufunc_bincount(data)	(512, 512, 32)	0.022072128641108673	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	6778	33662152
numpy_ufunc_bincount(data)	(1024, 1024, 256)	0.7324663929951688	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	28918	1073871635
numba_bincount(data)	(512, 128, 1)	0.034859559343506895	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	1061988	1379830
numba_bincount(data)	(1024, 512, 1)	0.028155831309656303	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	1058059	3212619
numba_bincount(data)	(2048, 1024, 1)	0.028297012050946552	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	1049514	9502103
numba_bincount(data)	(512, 512, 32)	0.03773591434583068	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	1061668	34670025
numba_bincount(data)	(1024, 1024, 256)	0.27804856561124325	3.12.5	1.26.4	2.2.2	1.11.1	Stuart's Macbook Pro (Intel 2019)	macOS-13.6.6-x86_64-i386-64bit	1069559	1074864458
numpy.bincount(data.reshape(-1))	(512, 128, 1)	0.00030246233329004707	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	296	798577
numpy.bincount(data.reshape(-1))	(1024, 512, 1)	0.001949821000001369	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	296	6303635
numpy.bincount(data.reshape(-1))	(2048, 1024, 1)	0.00649575366666492	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	296	25178005
numpy.bincount(data.reshape(-1))	(512, 512, 32)	0.02922058800004379	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	6566	100697982
numpy.bincount(data.reshape(-1))	(1024, 1024, 256)	0.9891689429999436	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	38286	3221294960
vigra_bincount(data)	(512, 128, 1)	0.0009424353333239802	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	1618	277682
vigra_bincount(data)	(1024, 512, 1)	0.007037938666674866	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	903	2112009
